"filename", "language", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\account-history.jsx", "JavaScript JSX", 0, 17, 0, 0, 17
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\account-history.module.scss", "SCSS", 3, 0, 0, 0, 3
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\footer.module.scss", "SCSS", 1, 0, 0, 0, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\clientportal.module.scss", "SCSS", -1, 0, 0, 0, -1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\template.module.scss", "SCSS", -1, 0, 0, 0, -1
"Total", "-", 2, 17, 0, 0, 19
