"filename", "language", "Properties", "JavaScript", "SCSS", "XML", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 0, -4, 0, 0, 0, 0, -1, -5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\blurred-spheres.module.scss", "SCSS", 0, 0, -7, 0, 0, 0, 0, 0, -7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\button1.module.scss", "SCSS", 0, 0, -25, 0, 0, 0, 0, -2, -27
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\button2.module.scss", "SCSS", 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\dark-mode-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\footer.module.scss", "SCSS", 0, 0, -47, 0, 0, 0, 0, -3, -50
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\input1.module.scss", "SCSS", 0, 0, -18, 0, 0, 0, 0, -1, -19
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\landingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -44, -9, -8, -61
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -28, -9, -2, -39
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -33, -10, -2, -45
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\LandingPage.module.scss", "SCSS", 0, 0, -71, 0, 0, 0, -3, -5, -79
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\index.scss", "SCSS", 0, 0, -20, 0, 0, 0, 0, -4, -24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\login.module.scss", "SCSS", 0, 0, -80, 0, 0, 0, 0, -10, -90
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\assets\MoonPhase.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\HeaderBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\Input1.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\blurred-spheres.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\button1.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\button2.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\blurred-spheres.module.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\button1.module.scss", "SCSS", 0, 0, 25, 0, 0, 0, 0, 2, 27
