"filename", "language", "SCSS", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\LandingPage.module copy.scss", "SCSS", 69, 3, 4, 76
"Total", "-", 69, 3, 4, 76
