"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\App.jsx", "JavaScript JSX", -1, 0, 1, 0
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\main.jsx", "JavaScript JSX", 3, 0, 0, 3
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\clientportal.jsx", "JavaScript JSX", 13, 0, 0, 13
"Total", "-", 15, 0, 1, 16
